
       CODE NAME                           MUNICIPALITY                   PR       LAT       LON  ELEV  CLA FIRSTDAY LASTDAY   O3  PM  N2  NO  NX  S2  CO  BZ  P2 MOB     
----------- ------------------------------ ------------------------------ -- --------- --------- ----- ---- -------- -------- --- --- --- --- --- --- --- --- --- ---     
    6000032 RAVENNATE                      CESENA                         FC  44.14866  12.24374    34  012 20080801 20080912  00  00  01  01  01  00  01  00  00  00     
    6000034 MONTEFIORE                     CESENA                         FC  44.14449  12.25792    21  012 20081101 20091203  00  00  01  01  01  00  01  00  00  00     
    6000035 HERA                           FORLI'                         FC  44.22940  12.08916    23  001 20090101 -999      00  01  01  01  01  00  01  00  01  00     
    6000036 SAVIGNANO DI RIGO              SOGLIANO AL RUBICONE           FC  43.92741  12.22479   615  033 20100324 -999      01  01  01  01  01  00  00  00  00  00     
    6000038 UM-FC-01                       unknown                        ?? -99.99999 -99.99999 -9999  000 20030130 -999      00  01  00  00  00  00  00  00  01  01     
    6000039 UM-FC-02                       unknown                        ?? -99.99999 -99.99999 -9999  000 20030130 -999      00  01  00  00  00  00  00  00  01  01     
    6000040 UM-FC-03                       unknown                        ?? -99.99999 -99.99999 -9999  000 20090305 -999      00  00  00  00  00  00  00  00  01  01     
    6000041 UM-FC-04                       unknown                        ?? -99.99999 -99.99999 -9999  000 20090305 -999      00  00  00  00  00  00  00  00  01  01     
    6000042 STAPLEX ALTO VOLUME            unknown                        ?? -99.99999 -99.99999 -9999  000 20030130 -999      00  01  00  00  00  00  00  00  00  01     
    7000001 CAVOUR                         IMOLA                          BO  44.35782  11.71090    47  011 19950902 20090302  00  00  01  01  01  01  01  00  00  00     
    7000002 DE AMICIS                      IMOLA                          BO  44.35542  11.72067    42  011 19950902 -999      00  01  01  01  01  00  01  01  00  00     
    7000003 PIRANDELLO                     IMOLA                          BO  44.35047  11.69974    45  011 19950902 20061231  01  00  01  01  01  00  01  00  00  00     
    7000013 ZANARDI                        BOLOGNA                        BO  44.51291  11.32818    40  011 19980102 20081001  01  00  01  01  01  00  01  01  00  00     
    7000014 GIARDINI MARGHERITA            BOLOGNA                        BO  44.48363  11.35504    43  011 19930602 -999      01  01  01  01  01  00  01  01  01  00     
    7000015 PORTA SAN FELICE               BOLOGNA                        BO  44.50002  11.32850    54  011 19980102 -999      00  01  01  01  01  00  01  01  01  00     
    7000016 MALPIGHI                       BOLOGNA                        BO  44.49004  11.36742    57  011 19930602 20061231  00  00  01  01  01  01  01  00  00  00     
    7000017 FIERA                          BOLOGNA                        BO  44.51193  11.35836    43  011 19980101 20070605  00  01  01  01  01  01  01  00  00  00     
    7000020 CASALECCHIO DI RENO            CASALECCHIO DI RENO            BO  44.48404  11.27700    61  011 19980101 20090302  00  00  01  01  01  00  01  00  00  00     
    7000021 CASTEL MAGGIORE                CASTEL MAGGIORE                BO  44.58108  11.36421    30  011 19980102 20090302  00  00  01  01  01  00  01  00  00  00     
    7000022 BORGO PANIGALE                 BOLOGNA                        BO  44.52174  11.27293    43  011 19980102 20090630  00  00  01  01  01  00  01  00  00  00     
    7000023 MONTE CUCCOLINO                BOLOGNA                        BO  44.46385  11.32867   260  032 19980101 20061231  01  01  01  01  01  00  00  00  00  00     
    7000024 SAN LAZZARO                    SAN LAZZARO DI SAVENA          BO  44.46719  11.41660    64  011 19980102 -999      00  01  01  01  01  00  01  00  00  00     
    7000025 CASTENASO                      CASTENASO                      BO  44.51200  11.46534    40  012 19980101 20060827  01  01  01  01  01  01  01  00  00  00     
    7000027 SAN PIETRO CAPOFIUME           MOLINELLA                      BO  44.65423  11.62482    11  033 20000301 -999      01  01  01  01  01  01  00  00  01  00     
    7000028 GRANAROLO                      GRANAROLO DELL'EMILIA          BO  44.55286  11.44428    29  011 20011211 20080218  00  00  01  01  01  00  01  00  00  00     
    7000034 HERA1 ROMAGNA                  IMOLA                          BO  44.36605  11.72058 -9999  000 20070401 20130308  00  01  01  01  01  00  01  00  01  00     
    7000035 HERA2 CARPE                    IMOLA                          BO  44.37115  11.70066 -9999  000 20070401 20130308  00  01  01  01  01  00  01  00  01  00     
    7000036 SAN MARINO                     BENTIVOGLIO                    BO  44.60671  11.42194    24  012 20080219 20091130  01  01  01  01  01  00  00  00  00  00     
    7000037 MEZZO MOBILE                   SAN LAZZARO DI SAVENA          BO  44.46719  11.41660    64  000 20090101 20090514  01  00  00  00  00  00  01  00  00  01     
    7000038 LM-BO                          MINERBIO                       BO  44.62641  11.49127    61  000 20100101 -999      01  01  01  01  01  00  01  01  01  01     
    7000039 FERRARI                        IMOLA                          BO  44.34866  11.70143    41  011 20100528 20120801  01  01  01  01  01  00  00  00  00  00     
    7000040 VILLA TORCHI                   BOLOGNA                        BO  44.54604  11.35939    50  011 20101201 20130103  00  01  01  01  01  00  00  00  00  00     
    7000041 VIA CHIARINI                   BOLOGNA                        BO  44.50009  11.28607    56  012 20101201 -999      01  01  01  01  01  00  00  00  00  00     
    7000042 CASTELLUCCIO                   PORRETTA TERME                 BO  44.14044  10.91717   970  033 20110620 -999      01  01  01  01  01  00  00  00  01  00     
    7000043 LM-BO-COMUNE                   BOLOGNA                        BO  44.49503  11.31054    65  000 20110101 -999      01  01  01  01  01  00  00  01  01  01     
    7000044 UM-BO-01                       MORDANO                        BO  44.40526  11.76766    21  000 20110101 -999      00  01  00  00  00  00  00  00  00  01     
    7000045 UM-BO-02                       MORDANO                        BO  44.39847  11.81143    21  000 20110101 -999      00  01  00  00  00  00  00  00  00  01     
    7000046 CABINA MOLINELLA               MOLINELLA                      BO  44.65193  11.62457 -9999  000 20110906 -999      00  01  00  00  00  00  00  01  01  00     
    7000047 CABINA MAINSITE                BOLOGNA                        BO  44.52463  11.34093 -9999  000 20111115 -999      00  01  00  00  00  01  00  00  01  00     
    8000001 701 S.GIOVANNI                 FERRARA                        FE  44.83998  11.64000     6  011 19950101 20070306  00  01  01  01  01  00  01  01  00  00     
    8000002 ISONZO                         FERRARA                        FE  44.84249  11.61314     8  011 19900416 -999      00  01  01  01  01  01  01  01  00  00     
    8000003 BARCO                          FERRARA                        FE  44.85998  11.61000     5  012 19850101 20090414  00  00  01  01  01  00  01  00  00  00     
