id_staz,lat,lon,quota,dataset,nome
H12845,45.04794,10.99897,14.0,fidupo,San Siro SIAP
H12847,45.01486,11.29334,10.0,fidupo,Sermide
H12850,45.10179,09.34609,64.0,fidupo,Spessa Po
H12858,45.12877,10.84258,24.0,fidupo,Vallazza-Fissero
H12861,45.16960,10.71924,18.0,fidupo,Vasarone
H04059,44.76680,09.23810,562.0,fidupo,Casanova
H04094,45.19033,09.77775,46.0,fidupo,Pizzighettone
H04157,45.16200,09.72081,58.0,fidupo,Codogno
H12970,44.30967,09.98399,195.0,fiduto,Bagnone
H12971,44.30488,09.79753,670.0,fiduto,Bosco di Rossano
H12972,44.01973,10.53512,137.0,fiduto,Calavorno
H12973,43.87354,10.37885,285.0,fiduto,Chiatri
H12974,44.30383,10.11961,734.0,fiduto,Comano
H12975,44.16926,10.15011,250.0,fiduto,Equi Terme
H12976,44.33326,10.03362,538.0,fiduto,Iera
H12977,44.24265,10.00344,121.0,fiduto,Licciana Nardi
H12978,44.21110,10.11689,460.0,fiduto,Mazzola
H12979,44.17095,10.20816,666.0,fiduto,Minucciano
H12980,44.28215,09.86333,695.0,fiduto,Parana
H12981,44.45621,09.82296,955.0,fiduto,Passo del Brattello
H12982,44.30424,10.21677,1250.0,fiduto,Passo del Cerreto
H12983,44.46636,09.92038,1014.0,fiduto,Passo della Cisa
H12984,44.35468,09.76451,744.0,fiduto,Patigno
H12985,44.33961,09.82327,955.0,fiduto,Pietra Piccata
H12986,44.36929,09.88313,226.0,fiduto,Pontremoli depuratore
H12987,44.10877,10.52683,1013.0,fiduto,Renaio
H12988,44.36633,09.95642,484.0,fiduto,Rocca Sigillina
H12990,44.20230,10.06251,120.0,fiduto,Soliera
H12991,44.15598,10.03383,410.0,fiduto,Tendola
H12992,44.24642,10.15170,500.0,fiduto,Turano
H12993,44.29111,09.94861,121.0,fiduto,Villafranca
H13000,43.71414,11.83093,415.0,fiduto,Bibbiena
H13011,44.05700,10.20695,860.0,fiduto,Pian della Fioba
H13014,43.88554,11.09922,65.0,fiduto,Prato Universita'
H13031,43.99488,10.71126,605.0,fiduto,Stiappa Siap
H13038,44.11824,10.60927,1674.0,fiduto,Foce a Giovo
H13040,44.15210,11.45426,279.0,fiduto,Firenzuola idro
H13041,43.74308,11.18226,54.0,fiduto,Vingone
H13064,44.02325,11.02527,950.0,fiduto,Acquerino
H13065,43.87651,10.85954,465.0,fiduto,Albano
H13068,43.91367,10.50199,134.0,fiduto,Aquilea
H13071,43.76769,11.04835,107.0,fiduto,Artimino
H13073,44.03422,10.60019,565.0,fiduto,Bagni di Lucca
H13076,44.06994,10.45881,270.0,fiduto,Barga
H13078,43.98619,11.38970,280.0,fiduto,Borgo S. Lorenzo 2
H13080,44.11640,10.10393,960.0,fiduto,Campocecina
H13081,44.04776,10.10957,150.0,fiduto,Candia Scurtarola
H13083,44.10437,10.33696,1100.0,fiduto,Careggine
H13094,43.74197,10.89366,70.0,fiduto,Cerreto Guidi
H13105,44.04736,11.38933,880.0,fiduto,Giogo
H13110,43.89766,10.24296,5.0,fiduto,Lido di Camaiore
H13115,43.77093,10.38380,3.0,fiduto,Metato
H13118,43.79400,10.52240,216.0,fiduto,Monte Pisano Nord
H13125,44.22176,09.89978,420.0,fiduto,Novegigola
H13127,44.20033,10.35988,1169.0,fiduto,Orecchiella
H13129,44.19706,10.48670,1637.0,fiduto,Passo Radici
