id_staz,lat,lon,quota,nome
S01278,  63.78200,  11.67520,  81.0,synop,VERDAL-REPPE
S01281,  64.74220,  12.84600, 140.0,synop,NAMSSKOGAN
S01282,  64.83500,  11.14080,   4.0,synop,RORVIK AP
S01287,  62.67940,  11.81530, 760.0,synop,SOLENDET
S01288,  62.57730,  11.35180, 625.0,synop,ROROS AP
S01290,  64.47080,  11.57050,   2.0,synop,NAMSOS AP
S01291,  64.53100,  12.38370,  95.0,synop,GARTLAND
S01293,  63.41150,  11.72770, 169.0,synop,MERAKER-EGGE
S01298,  64.44580,  13.71810, 433.0,synop,NORDLI-HOLAND
S01304,  61.57170,   4.68170,  26.0,synop,YTTEROYANE LH
S01307,  60.78000,   4.72000,  19.0,synop,FEDJE
S01308,  61.29280,   5.04430,   7.0,synop,FURUNESET
S01310,  61.58320,   5.02780,   9.0,synop,FLORO AP
S01311,  60.28920,   5.22650,  48.0,synop,BERGEN/FLESLAND
S01314,  60.52050,   5.72430,  10.0,synop,FOSSMARK
S01315,  60.64700,   6.11050,  17.0,synop,EVANGER
S01317,  60.38300,   5.33270,  12.0,synop,BERGEN/FLORIDA
S01318,  61.78800,   6.18370,  51.0,synop,SANDANE
S01319,  61.02720,   5.38130,  38.0,synop,TAKLE
S01320,  61.82930,   6.10430,  60.0,synop,SANDANE AP
S01321,  61.91570,   6.55850, 208.0,synop,STRYN
S01322,  61.46480,   5.93330,  64.0,synop,FORDE-TEFRE
S01323,  61.39100,   5.76000, 321.0,synop,FORDE AP
S01326,  60.85620,   5.97330, 125.0,synop,MODALEN III
S01327,  60.38870,   5.96400, 455.0,synop,KVAMSKOGEN-JONSHOGDI
S01329,  60.35780,   6.27480,  49.0,synop,KVAMSOY
S01332,  61.42330,   6.76420,   3.0,synop,FJAERLAND-BREMUSEET
S01336,  60.64550,   6.22200, 328.0,synop,BULKEN
S01337,  60.62500,   6.42620,  54.0,synop,VOSSEVANGEN
S01338,  61.17240,   6.64520,  49.0,synop,VANGSNES
S01340,  60.40850,   7.27980, 735.0,synop,FET I EIDFJORD
S01342,  60.31850,   6.65380,  12.0,synop,ULLENSVANG
S01344,  60.70220,   6.93730, 695.0,synop,MJOLFJELL
S01345,  60.71920,   7.20850, 960.0,synop,KLEVAVATNET
S01346,  60.65630,   7.27550,1162.0,synop,MIDTSTOVA
S01347,  61.15800,   7.14130, 497.0,synop,SOGNDAL AP
S01350,  60.59250,   7.53050,1210.0,synop,FINSEVATN
S01352,  60.18330,   7.48050,1250.0,synop,SANDHAUG
S01355,  61.10330,   7.50250,   2.0,synop,LAERDAL IV
S01356,  61.51580,   7.90580,2062.0,synop,FANNARAKI
S01357,  60.87050,   8.51750, 807.0,synop,HOLLEKOLTEN
S01358,  60.85480,   8.59300, 604.0,synop,HEMSEDAL II
S01359,  60.53000,   8.19480, 772.0,synop,GEILO-OLDEBRATEN
S01360,  61.89570,   7.89550, 664.0,synop,BRATA-SLETTOM
S01361,  62.01620,   7.66370, 872.0,synop,GROTLI III
S01362,  61.67750,   8.36900,1894.0,synop,JUVVASSHOE
S01363,  60.41880,   8.52630, 798.0,synop,DAGALI AP
S01364,  61.17800,   8.11250, 956.0,synop,FILEFJELL
S01365,  61.25080,   8.92280, 965.0,synop,BEITOSTOLEN II
S01366,  61.56470,   7.99780,1413.0,synop,SOGNEFJELL
S01367,  60.97850,   9.22400, 358.0,synop,FAGERNES
S01368,  61.01280,   9.29280, 822.0,synop,FAGERNES AP
S01369,  60.91800,   9.28940, 639.0,synop,ABJORSBRATEN
S01370,  61.53080,   9.40230, 928.0,synop,SKABU
S01371,  61.12200,   9.06300, 521.0,synop,LOKEN I VOLBU
S01373,  60.56720,   9.13370, 166.0,synop,NESBYEN-TODOKK
S01374,  60.93450,  10.03580, 542.0,synop,VEST-TORPA II
S01375,  61.46480,  10.12770,1030.0,synop,KVITFJELL
S01376,  60.38300,   9.60500, 142.0,synop,GULSVIK II
S01378,  61.09250,  10.47750, 240.0,synop,LILLEHAMMER-SAETHERE
S01380,  61.65130,  10.10820, 930.0,synop,VENABU
S01381,  60.70020,  10.86950, 264.0,synop,APELSVOLL
S01382,  60.77330,  10.80550, 128.0,synop,KISE
S01383,  61.42550,  11.08030, 257.0,synop,EVENSTAD-DIH
S01384,  60.20650,  11.08020, 202.0,synop,OSLO/GARDERMOEN
S01385,  60.81800,  11.06970, 221.0,synop,HAMAR
S01386,  60.80100,  11.09770, 132.0,synop,HAMAR II
S01387,  61.45500,  10.18570, 200.0,synop,FAVANG
S01389,  61.18580,  11.37050, 255.0,synop,RENA AP
S01392,  60.61410,  12.01250, 185.0,synop,FLISA II
S01393,  61.88720,  12.04800, 672.0,synop,DREVSJO
S01397,  61.29440,  12.27190, 360.0,synop,TRYSIL VEGSTASJON
S01403,  59.30650,   4.87230,  55.0,synop,UTSIRA LH
S01406,  59.90830,   5.06830,  25.0,synop,SLATTEROY LH
S01408,  59.34970,   5.19770,  24.0,synop,HAUGESUND AP
S01411,  59.07050,   5.41220,  21.0,synop,KVITSOY - NORDBO
S01412,  58.65920,   5.55530,  24.0,synop,OBRESTAD
S01413,  58.76050,   5.65050,  87.0,synop,SAERHEIM
S01414,  59.43820,   5.07800,  25.0,synop,ROVER
S01415,  58.88430,   5.63700,   7.0,synop,STAVANGER/SOLA
S01416,  58.95720,   5.73000,  72.0,synop,STAVANGER VAALAND
S01417,  59.49270,   5.72080,  20.0,synop,NEDRE VATS
S01418,  60.01670,   5.20580,  32.0,synop,AUSTEVOLL
S01419,  59.05120,   6.12120, 300.0,synop,LIARVATN
S01422,  59.16000,   6.03650,  30.0,synop,FISTER_SIGMUNDSTAD
S01424,  59.64780,   6.35000,   5.0,synop,SAUDA
S01425,  58.50700,   6.50450,  65.0,synop,EIK HOVE
S01426,  58.43530,   5.87180,  49.0,synop,EIGEROYA
S01427,  58.10900,   6.56750,  14.0,synop,LISTA LH
S01429,  59.83150,   6.73300,1010.0,synop,ROLDALSFJELLET
S01430,  58.02470,   7.45170,  10.0,synop,MANDAL III
S01431,  58.92300,   6.90970, 560.0,synop,SIRDAL-SINNES
S01433,  59.84020,   6.98250,1079.0,synop,MIDTLAEGER
S01434,  59.76620,   7.36530, 821.0,synop,VAAGSLI
S01435,  59.81180,   7.21430, 990.0,synop,
S01436,  57.98260,   7.04780,  16.0,synop,LINDESNES LH
S01439,  58.26700,   7.38070, 263.0,synop,KONSMO-HOYLAND
S01440,  59.33350,   6.88170,1105.0,synop,BLASJO
S01441,  59.57660,   7.38970, 841.0,synop,HOVDEN-LUNDANE
S01442,  58.68630,   7.80300, 207.0,synop,BYGLANDSFJORD
S01444,  59.19720,   7.52730, 308.0,synop,VALLE
S01447,  59.49700,   8.19920, 560.0,synop,HOYDALSMO II
S01448,  58.07310,   8.05310,   9.0,synop,OKSOY LH
S01449,  58.87000,   9.02630,  32.0,synop,GJERSTAD
S01450,  59.83970,   8.17920, 977.0,synop,MOSSTRAND II
S01452,  58.20000,   8.07670,  12.0,synop,KRISTIANSAND/KJEVIK
S01453,  58.60070,   8.41620, 162.0,synop,HYNNEKLEIV
S01455,  59.02570,   8.51870, 252.0,synop,TVEITSUND
S01459,  58.65820,   8.63130, 142.0,synop,NELAUG
S01460,  59.43520,  10.57800,  14.0,synop,GULLHOLMEN
S01461,  59.84970,   8.65620,1804.0,synop,GAUSTATOPPEN
S01462,  59.09100,   9.66000, 100.0,synop,PORSGRUNN
S01463,  59.66050,  10.78180,  92.0,synop,AS
S01464,  58.34000,   8.52250,   6.0,synop,LANDVIK
S01465,  58.39880,   8.78930,  12.0,synop,TORUNGEN LH
S01466,  59.97080,  11.03830, 108.0,synop,KJELLER AP
S01467,  58.63610,   9.14790,   4.0,synop,LYNGOR LH
S01468,  60.19030,  12.00670, 148.0,synop,KONGSVINGER
S01469,  60.16650,  10.24780, 140.0,synop,HONEFOSS-HOYBY
S01470,  59.38220,   9.21280,  93.0,synop,GVARV
S01471,  60.04350,   9.14680, 275.0,synop,VEGGLI II
S01473,  59.62470,   9.63770, 170.0,synop,KONGSBERG BRANNSTASJ
