id_staz,lat,lon,quota,dataset,nome
H08155,44.55000,11.40000,33.0,climat,Cadriano
H08156,44.26667,11.31667,745.0,climat,Loiano
H08157,44.65000,11.13333,21.0,climat,Sant'Agata Bolognese
H08158,44.65611,11.77111,3.0,climat,Consandolo
H08159,44.90000,11.81667,4.0,climat,Copparo
H08160,44.86667,12.20000,0.0,climat,Codigoro Pontevicini
H08161,44.66667,12.13333,0.0,climat,Valle Lepri
H08162,44.90000,11.35000,9.0,climat,Bondeno
H08163,44.73333,11.86666,3.0,climat,San Vito Ostellato
H08164,44.76667,11.33333,12.0,climat,Dosso
H08165,44.80000,12.01667,0.0,climat,Massa Fiscaglia
H08166,44.71666,11.86667,3.0,climat,Ostellato
H08167,44.83333,12.26667,5.0,climat,corpo forestale dello stato Bosco Mesola
H08168,44.83333,11.60000,10.0,climat,Chiesuol del Fosso
H08169,44.45000,12.20001,3.0,climat,Ravenna Marani
H08170,44.28334,11.85000,80.0,climat,Faenza Persolino
H08171,44.55000,11.83333,5.0,climat,Lavezzola
H08172,44.50000,12.03333,2.0,climat,Alfonsine
H08173,44.50000,12.18333,-3.0,climat,San Romualdo
H08174,44.33334,12.06667,19.0,climat,Filetto
H08175,44.28333,11.76666,93.0,climat,Faenza Tebano
H08176,44.45000,11.98333,11.0,climat,Oasi di Bagnacavallo
H08177,44.23333,11.63334,200.0,climat,Casola Valsenio
H08178,44.16556,11.62111,604.0,climat,Fornazzano
H08179,44.50000,12.16667,0.0,climat,San Romualdo
H08180,44.22112,12.04267,64.0,climat,Forli' idrografico 2358
H08181,44.16639,12.26888,25.0,climat,Martorano 5
H08182,43.92343,11.77559,958.0,climat,Corniolo Braccina
H08183,43.83222,11.83972,715.0,climat,Lama
H08184,43.93277,11.89417,295.0,climat,Capaccio
H08185,44.11822,12.27957,40.0,climat,Cesena Madonna dell'Olivo
H08186,44.25726,12.06792,25.0,climat,Forli' Malmissole
H08187,44.09982,12.23351,85.0,climat,Rio Eremo Cesena
H08188,44.20000,12.06667,27.0,climat,Forli' aeroporto
H08189,44.18333,12.20001,27.0,climat,Cesena Provezza
H08190,44.12601,12.17041,110.0,climat,Lizzano
H08191,44.12001,12.30022,36.0,climat,Bulgaria
H08192,44.08970,12.27527,110.0,climat,Carpineta
H08193,44.30000,12.01667,15.0,climat,Villa Franca
H08194,44.22510,11.96964,41.0,climat,Forli' Villagrappa
H08195,44.28334,12.06667,16.0,climat,Barisano
H08196,44.19812,12.14873,23.0,climat,Forlimpopoli
H08197,44.00359,12.29964,345.0,climat,Sogliano al Rubicone
H08198,44.26667,12.05001,20.0,climat,Roncadello
H08199,44.13642,11.97859,120.0,climat,Fiumana Predappio
H08200,44.18333,12.31666,10.0,climat,Capannaguzzo
H08201,44.18333,12.28334,14.0,climat,Calabrina
H08202,44.20000,12.10000,27.0,climat,Ronco
H08203,44.31667,11.48334,130.0,climat,Ca' di Villa Nuova
H08204,44.41667,11.59999,59.0,climat,Castel San Pietro Zabina
H08205,44.43333,11.73333,18.0,climat,Imola Sasso Morelli
H08206,44.41666,11.66666,51.0,climat,Imola Capanno
H08207,44.33334,11.71666,72.0,climat,Imola Scarabelli
H08208,44.36667,11.76667,32.0,climat,Imola San Prospero
H08209,44.46667,11.76667,11.0,climat,Osteriola
H08210,44.06667,12.45000,35.0,climat,Santarcangelo
H08211,44.06667,12.54999,10.0,climat,Rimini parco Marecchia
H08212,44.03334,12.61667,12.0,climat,Rimini aeroporto
H08213,44.05000,12.40000,40.0,climat,Canonica
H08214,43.95000,12.70000,20.0,climat,Conca San Giovanni
H08215,44.00000,12.51667,65.0,climat,Rimini Sant'Aquilina
H08216,44.01667,12.45000,56.0,climat,Corpolo
H12545,44.79609,09.32710,1195.0,cofor,Passo Penice
H12546,44.41317,10.00962,1252.0,cofor,Lagdei
H12547,44.29553,10.42807,1150.0,cofor,Sperella
H12548,44.21006,10.72433,1550.0,cofor,Lago della Ninfa
H12549,44.13292,10.82208,1416.0,cofor,Rifugio Cavone
H12550,43.87914,11.71655,1450.0,cofor,Fangacci - Monte Falco - Campigna
H12551,43.79384,12.07533,1340.0,cofor,Passo della Biancarda
H11240,44.86278,10.70000,22.0,coremo,SIRONA
H11241,44.83778,10.70917,25.0,coremo,CARTOCCIO
H11242,44.80139,10.69167,29.0,coremo,SANTA MARIA
H11243,44.79806,10.64222,25.0,coremo,VIA ARGINE
H11244,44.75111,10.66417,31.0,coremo,ROTTE
H11245,44.67222,10.71306,55.0,coremo,MASONE
H11246,44.84944,10.79833,25.0,coremo,BRUNORIA
H11247,44.76806,10.76389,34.0,coremo,CORREGGIO
H11248,44.73306,10.78139,36.0,coremo,SAN MARTINO
H11249,44.70944,10.84083,39.0,coremo,PANZANO
H11250,44.73222,10.85139,35.0,coremo,GARGALLO
H11251,44.78639,10.92361,22.0,coremo,PRATAZZOLA
H11252,44.86694,10.89139,19.0,coremo,PONTE PIETRA
H11253,44.88528,10.64194,21.0,coremo,BENTIVOGLIO
H11254,44.69861,10.62639,57.0,coremo,REGGIO EMILIA
H12863,44.41770,11.91331,14.0,cro,Lugo
H07359,44.52128,11.99127,2.0,cro,Idrovoro Dane
H07360,44.46988,12.03599,3.0,cro,Idrovoro Fossette Riunite
H07361,44.54933,11.86905,6.0,cro,Idrovoro Sabbadina
H07364,44.55489,11.99460,6.0,cro,Idrovoro Tratturo
H07365,44.42099,11.80877,16.0,cro,Mordano Bubano
H07366,44.56128,12.24389,4.0,cro,Ponte Chiavica
H07367,44.40099,11.86376,16.0,cro,Santerno Senio 1
H07368,44.36821,11.83876,19.0,cro,Santerno Senio 2
H11112,44.69904,10.40133,113.0,etg,Basilicagoiano
H13992,46.07650,12.76880,142.0,fidufv,VIVARO
H13993,45.89560,12.81500,21.0,fidufv,SAN VITO AL TGL.
H13994,45.91800,12.54500,22.0,fidufv,BRUGNERA
H13995,46.13450,13.35230,158.0,fidufv,FAEDIS
H13996,46.10170,13.07390,148.0,fidufv,FAGAGNA
H13997,46.03520,13.22670,91.0,fidufv,UDINE S.O.
H13998,45.88230,13.15580,16.0,fidufv,TALMASSONS
H13999,45.80570,13.05260,5.0,fidufv,PALAZZOLO D.S.
H14000,45.95810,13.51230,85.0,fidufv,CAPRIVA D.F.
H14001,45.88980,13.48190,29.0,fidufv,GRADISCA D'IS.
H14002,45.71480,13.45890,0.0,fidufv,FOSSALON DI GRADO
H14003,45.84950,13.33700,8.0,fidufv,CERVIGNANO
H14004,45.65000,13.75220,1.0,fidufv,TRIESTE M.BANDIERA
H14005,45.73800,13.74200,268.0,fidufv,SGONICO
H14006,46.26130,13.12210,184.0,fidufv,GEMONA
H14007,45.95230,13.00270,37.0,fidufv,CODROIPO
H14008,45.95360,12.68130,23.0,fidufv,PORDENONE
H14009,45.70190,13.14710,7.0,fidufv,LIGNANO
H14010,46.08040,13.42000,127.0,fidufv,CIVIDALE
H14011,46.50230,12.92620,1750.0,fidufv,MONTE ZONCOLAN
H14012,46.48240,13.52050,1760.0,fidufv,MONTE LUSSARI
H14013,46.15730,12.59770,1528.0,fidufv,PALA D'ALTEI
H14014,46.51070,13.55190,794.0,fidufv,TARVISIO
H14015,46.41040,12.86250,438.0,fidufv,ENEMONZO
H14016,46.40970,12.59370,922.0,fidufv,FORNI DI SOPRA
H14017,46.50950,13.30250,590.0,fidufv,PONTEBBA
H14018,46.39940,13.00590,314.0,fidufv,TOLMEZZO
H14019,46.31260,13.27460,600.0,fidufv,MUSI
H14020,46.25450,12.73400,345.0,fidufv,CHIEVOLIS
H14021,46.11490,12.52440,1275.0,fidufv,PIANCAVALLO
H14022,46.19320,12.57100,468.0,fidufv,BARCIS
H12202,44.00624,08.16930,25.0,fiduli,Alassio
H12203,44.06832,08.18089,36.0,fiduli,Albenga-Isolabella
H12204,44.04882,08.21077,6.0,fiduli,Albenga-Molino Branca
H12205,44.32931,08.50887,3.0,fiduli,Albisola
H12209,44.40449,08.52801,435.0,fiduli,Alpicella
H12210,44.33428,08.34782,470.0,fiduli,Altare
H12213,44.43845,09.10735,702.0,fiduli,Bargagli
H12216,43.93330,08.00070,281.0,fiduli,Bestagno
H12222,43.97713,07.95315,250.0,fiduli,Borgomaro
H12223,43.84803,07.62177,115.0,fiduli,Borgonuovo
H12224,44.42429,09.41013,386.0,fiduli,Borzone
H12226,44.23132,09.71552,112.0,fiduli,Brugnato
H12227,43.96126,07.68502,430.0,fiduli,Buggio
H12233,44.20310,08.29344,58.0,fiduli,Calice Ligure
H12234,44.24990,09.84000,425.0,fiduli,Calice al Cornoviglio-Molunghi
H12237,44.25803,08.44944,170.0,fiduli,Capo Vado
H12240,44.30542,09.76581,1070.0,fiduli,Casoni
H12241,44.14665,08.26235,91.0,fiduli,Castellari
H12242,44.13202,08.11888,432.0,fiduli,Castelvecchio di R.B.
H12246,44.35237,09.58414,410.0,fiduli,Cembrano
H12247,44.07623,08.13448,110.0,fiduli,Cenesi
H12248,43.87968,07.77388,370.0,fiduli,Ceriana
H12250,44.32216,09.34547,6.0,fiduli,Chiavari-Caperana
H12251,44.42107,09.32194,615.0,fiduli,Cichero
H12252,44.08548,08.14601,52.0,fiduli,Cisano sul Neva
H12253,43.98152,07.69983,1357.0,fiduli,Colle Belenda
H12254,44.23234,08.20245,1004.0,fiduli,Colle del Melogno
H12255,44.33297,08.38289,385.0,fiduli,Colle di Cadibona
H12256,44.08325,07.87331,927.0,fiduli,Colle di Nava
H12258,44.40840,09.18148,560.0,fiduli,Colonia Arnaldi
